City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,aras-asan,8.8908,126.3033,27.15,76,90,1.41,PH,1713974668
322,palmer,42.1584,-72.3287,14.62,62,75,3.6,US,1713974428
323,kerikeri,-35.2268,173.9474,11.06,93,100,0.59,NZ,1713974668
324,deoria,26.5047,83.7872,32.19,14,0,3.9,IN,1713974668
325,leava,-14.3,-178.1667,28.6,75,26,1.13,WF,1713974668
326,nuku'alofa,-21.1333,-175.2,26.19,89,40,5.66,TO,1713974668
327,road town,18.4167,-64.6167,30.02,70,75,4.63,VG,1713974669
328,namdrik,5.5994,168.1028,28.26,80,100,7.62,MH,1713974669
329,ingeniero jacobacci,-41.3427,-69.5448,12.3,26,100,7.47,AR,1713974669
330,bage,-31.3314,-54.1069,17.88,52,0,2.57,BR,1713974669
331,tralee,52.2704,-9.7026,12.14,71,75,2.06,IE,1713974669
332,boa vista,2.8197,-60.6733,27.99,78,40,3.09,BR,1713974596
333,palikir - national government center,6.9248,158.1611,25.41,94,100,1.54,FM,1713974669
334,olonkinbyen,70.9221,-8.7187,-2.68,84,36,2.92,SJ,1713974670
335,utete,-7.986,38.758,24.49,96,100,0.86,TZ,1713974670
336,songea,-10.6833,35.65,18.87,97,100,1.49,TZ,1713974670
337,chegdomyn,51.1167,133.0167,6.29,91,85,1.54,RU,1713974670
338,mezhdurechenskiy,59.6,65.9333,-2.87,66,5,3.09,RU,1713974670
339,farasan,16.7022,42.1183,30.28,76,0,1.06,SA,1713974670
340,kyren,51.6828,102.1408,-1.7,86,100,0.89,RU,1713974670
341,sarikei,2.1167,111.5167,25.05,100,100,1.66,MY,1713974671
342,arkhangel'sk,64.5401,40.5433,2.06,100,100,2.0,RU,1713974468
343,borzya,50.3833,116.5167,2.51,42,37,4.57,RU,1713974671
344,pozega,45.3403,17.6853,8.76,86,100,1.49,HR,1713974671
345,zhangatas,43.5667,69.75,18.59,53,100,4.04,KZ,1713974671
346,peace river,56.2501,-117.286,9.81,45,100,3.09,CA,1713974412
347,maragogi,-9.0122,-35.2225,30.0,66,52,3.36,BR,1713974671
348,antsiranana,-12.2787,49.2917,27.42,78,20,4.12,MG,1713974672
349,puerto deseado,-47.7503,-65.8938,12.15,52,100,12.55,AR,1713974481
350,noshiro,40.2039,140.0242,12.62,91,100,3.38,JP,1713974672
351,oranjemund,-28.55,16.4333,14.73,90,71,6.21,NA,1713974672
352,princeville,45.7668,-61.2985,5.94,94,100,4.47,CA,1713974672
353,taro,-8.3862,115.28,24.0,100,100,1.05,ID,1713974194
354,dazhong,33.1997,120.4578,12.0,78,61,3.31,CN,1713974672
355,north platte,41.1239,-100.7654,15.06,47,76,8.05,US,1713974436
356,turabah,21.2141,41.6331,32.17,13,36,3.88,SA,1713974673
357,kismayo,-0.3582,42.5454,28.72,79,85,4.81,SO,1713974228
358,plastun,44.7561,136.2939,5.09,98,100,1.13,RU,1713974673
359,selkirk,50.1436,-96.8845,10.1,36,46,2.24,CA,1713974604
360,maiyama,12.0841,4.3677,43.16,14,95,0.73,NG,1713974673
361,ghanzi,-21.5667,21.7833,27.39,16,0,2.9,BW,1713974673
362,colares,38.7992,-9.4469,22.81,53,20,4.63,PT,1713974674
